,name,price,product_url,image,freeship,average_review,number_of_sales,sale,tikinow,tikinow_member_deal,re_hon_hoan_tien,tra_gop,free_gift
1032,SIM 4G Mobifone MDT250A Trọn Gói 1 Năm Không Cần Nạp Tiền - Hàng chính hãng - Mẫu ngẫu nhiên,197.000 ₫,https://tiki.vn/sim-4g-mobifone-mdt250a-tron-goi-1-nam-khong-can-nap-tien-hang-chinh-hang-p7734288.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.7734288,https://salt.tikicdn.com/cache/200x200/ts/product/04/7c/10/28069e3aaf78c72ea7ca0aa29683c4bb.jpg,No, 86%,957,,,,,,
1033,Giá đỡ kẹp điện thoại kim loại gắn gương chiếu hậu xe máy C2,48.000 ₫,https://tiki.vn/gia-do-kep-dien-thoai-kim-loai-gan-guong-chieu-hau-xe-may-c2-p50937043.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.50937043,https://salt.tikicdn.com/cache/200x200/ts/product/cb/22/17/3ee9844bf33e55e7cfade3fb41fdbcad.png,Yes, 100%,,,Yes,,,,
1034,"Tai nghe có dây N20 âm thanh nguyên bản chất lượng cao, có mic đàm thoại và thanh chỉnh âm lượng, phù hợp với nhiều dòng điện thoại",59.000 ₫,https://tiki.vn/tai-nghe-co-day-n20-am-thanh-nguyen-ban-chat-luong-cao-co-mic-dam-thoai-va-thanh-chinh-am-luong-phu-hop-voi-nhieu-dong-dien-thoai-p71883135.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71883135,https://salt.tikicdn.com/cache/200x200/ts/product/7b/57/52/fca453c75ebfc73baeb0793e467daa1c.jpg,Yes, 78%,,,Yes,,,,
1035,Loa Bluetooth đồng hồ 3in1 ACOME A5  âm thanh HD sắc nét  âm bass trầm ấm công suất 5W phát được đài FM - HÀNG CHÍNH HÃNG,169.000 ₫,https://tiki.vn/loa-bluetooth-dong-ho-3in1-acome-a5-am-thanh-hd-sac-net-am-bass-tram-am-cong-suat-5w-phat-duoc-dai-fm-hang-chinh-hang-p75588372.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75588372,https://salt.tikicdn.com/cache/200x200/ts/product/d0/f9/1c/519e46dc167047c90b2ee832bfe697ed.jpg,Yes, 94%,112,,Yes,,Yes,,
1036,Tay Cầm Chơi Game Xbox 360,290.000 ₫,https://tiki.vn/tay-cam-choi-game-xbox-360-p14754505.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.14754505,https://salt.tikicdn.com/cache/200x200/ts/product/ba/7d/67/192baf7d1d8272ec53ff75ad7ae4e130.jpg,No,,6,,Yes,,,,
1037,Giá Đỡ Laptop Để Bàn Hợp Kim Nhôm Cao Cấp Tản Nhiệt Gọn Nhẹ ,189.000 ₫,https://tiki.vn/gia-do-laptop-de-ban-hop-kim-nhom-cao-cap-tan-nhiet-gon-nhe-p69978395.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.69978395,https://salt.tikicdn.com/cache/200x200/ts/product/1c/08/ed/f1ea7d46d074d27d77483280ba3995e9.jpg,Yes, 96%,,,Yes,,,,
1038,Dây Đeo Thay Thế Cho Vòng Đeo Tay Thông Minh Xiaomi Mi Band 3 / Mi Band 4 Dẻo TPU,19.900 ₫,https://tiki.vn/day-deo-thay-the-cho-vong-deo-tay-thong-minh-xiaomi-mi-band-3-deo-tpu-p19336345.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.19336345,https://salt.tikicdn.com/cache/200x200/ts/product/dc/1b/ef/f90b272a96214e79247b0b5039c6de0f.jpg,Yes, 90%,,,Yes,,,,
1039,Hub chuyển đổi USB Type-C Sang USB 3.0/HDMI-Type C (Bạc),156.999 ₫,https://tiki.vn/hub-chuyen-doi-usb-type-c-sang-usb-3-0-hdmi-type-c-bac-p26341625.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.26341625,https://salt.tikicdn.com/cache/200x200/ts/product/cc/6f/b9/d294b2f21fefcf11300b55f61bdaabb7.jpg,Yes, 86%,86,,Yes,,,,
1040,"Đồng hồ thông minh Hw16 màn hình siêu sắc nét IPS 1.72 , thay hình nền tùy ý , nghe gọi trực tiếp , chống nước , pin trâu 3-5 ngày",474.000 ₫,https://tiki.vn/dong-ho-thong-minh-hw16-man-hinh-sieu-sac-net-ips-1-72-thay-hinh-nen-tuy-y-nghe-goi-truc-tiep-chong-nuoc-pin-trau-3-5-ngay-p77042271.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.77042271,https://salt.tikicdn.com/cache/200x200/ts/product/45/f8/a3/69f9dace9cce7d38ea9f4a6b88f7fd90.jpg,Yes, 92%,90,-3%,,,,,
1041,Chuột Không Dây HXSJ X50 Plus - Hàng Chính Hãng,148.000 ₫,https://tiki.vn/chuot-khong-day-hxsj-x50-plus-hang-chinh-hang-p56889347.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.56889347,https://salt.tikicdn.com/cache/200x200/ts/product/6f/ca/9f/5cade16a36652daeeb32f9c039372dc8.jpg,Yes, 84%,,,Yes,,Yes,,
1042,Bảng vẽ điện tử - nét đậm - Sản phẩm giao màu ngẫu nhiên,80.000 ₫,https://tiki.vn/bang-ve-dien-tu-net-dam-san-pham-giao-mau-ngau-nhien-p74853954.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74853954,https://salt.tikicdn.com/cache/200x200/ts/product/1f/d4/af/6f8b38f8a840119a538df6e3dcf5d441.jpg,Yes, 70%,,,,,Yes,,
1043,Chuột Không Dây Microsoft 1850 Receiver USB - Hàng Chính Hãng,298.900 ₫,https://tiki.vn/chuot-khong-day-microsoft-1850-receiver-usb-hang-chinh-hang-p23518127.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.23518127,https://salt.tikicdn.com/cache/200x200/media/catalog/product/7/1/71uas3qijll._sl1500_hong.jpg,Yes, 94%,1000,,Yes,,Yes,,
1044,Chuột không dây sạc điện tặng lót chuột cao cấp,96.000 ₫,https://tiki.vn/chuot-khong-day-sac-dien-tang-lot-chuot-cao-cap-p14990454.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.14990454,https://salt.tikicdn.com/cache/200x200/media/catalog/producttmp/5a/58/1b/2598d7e96dcf8197926234ad41b27c6c.jpg,Yes, 90%,1000,-2%,Yes,,,,
1045,Tai nghe Bluetooth 5.1 TWS Không dây Nhét tai AMA W1S Cao cấp Hàng nhập khẩu,449.999 ₫,https://tiki.vn/tai-nghe-bluetooth-5-1-tws-khong-day-nhet-tai-ama-w1s-cao-cap-hang-nhap-khau-p112339641.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.112339641,https://salt.tikicdn.com/cache/200x200/ts/product/7b/35/2e/a231625954d537d3d91474b6241b1395.jpg,Yes,,,,,,Yes,,
1046,"Tai Nghe Bluetooth Không Dây XSmart Thế Hệ Mới Extra Bass M9 Pro Giải Trí EDM, REMIX Cực Đã Pin Siêu Trâu Dock Sạc Có Led - Hàng Chính Hãng",399.000 ₫,https://tiki.vn/tai-nghe-bluetooth-khong-day-xsmart-the-he-moi-extra-bass-m9-pro-giai-tri-edm-remix-cuc-da-pin-sieu-trau-dock-sac-co-led-hang-chinh-hang-p97566283.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.97566283,https://salt.tikicdn.com/cache/200x200/ts/product/97/82/68/5408ce6265c06fb133438100bbb38696.jpg,Yes, 82%,,,Yes,,Yes,,
1047,"Dây Cáp HDMI 2.0 MECK (2m): 3D, 4K, ARC, Ethernet",99.000 ₫,https://tiki.vn/day-cap-hdmi-2-0-meck-2m-3d-4k-arc-ethernet-p11880750.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.11880750,https://salt.tikicdn.com/cache/200x200/ts/product/cf/3f/56/08f89ad81fcf368ecd742d4a87874ec4.jpg,Yes, 96%,843,,Yes,,,,
1048,Tai nghe nhét tai PKCB cho IPHONE/IPAD/SAMSUNG/Oppo/SONY/XIAOMI (trắng) - Hàng chính hãng,200.000 ₫,https://tiki.vn/tai-nghe-nhet-tai-pkcb-cho-iphone-ipad-samsung-oppo-sony-xiaomi-trang-hang-chinh-hang-p95194428.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.95194428,https://salt.tikicdn.com/cache/200x200/ts/product/37/c9/4e/7625e30ee526344bd6872731452b1625.png,Yes, 90%,118,,Yes,,Yes,,
1049,Loa di động Bluetooth LG XBOOMGO PL2 - Hàng Chính Hãng,732.100 ₫,https://tiki.vn/loa-di-dong-bluetooth-lg-xboomgo-pl2-hang-chinh-hang-p57659050.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.57659050,https://salt.tikicdn.com/cache/200x200/ts/product/31/d8/92/ad57dfa294bd232e22fee374c2d1909a.jpg,Yes, 96%,,,Yes,,,,
1050,Chuột không dây bluetooth Microsoft Modern Mobile - Hàng Chính Hãng,699.900 ₫,https://tiki.vn/chuot-khong-day-bluetooth-microsoft-modern-mobile-hang-chinh-hang-p58340599.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.58340599,https://salt.tikicdn.com/cache/200x200/ts/product/72/93/8a/b1169a4ecfb4121192d361cea3af05e3.png,Yes, 96%,,,Yes,,Yes,,
1051,Chuột Có Dây Logitech M105 - Hàng chính hãng,119.000 ₫,https://tiki.vn/chuot-co-day-logitech-m105-hang-chinh-hang-p55897.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.55897,https://salt.tikicdn.com/cache/200x200/ts/product/79/3a/fe/dacc131f76cedc409df01e36be87ff39.jpg,No, 100%,558,,,,Yes,,
1052,Đồng hồ Thông minh có Nắp bảo vệ Màn hình cảm ứng Chống vỡ Chống va đập Dành cho Trẻ em AMA Watch M80 Chống nước Hàng nhập khẩu,598.001 ₫,https://tiki.vn/dong-ho-thong-minh-co-nap-bao-ve-man-hinh-cam-ung-chong-vo-chong-va-dap-danh-cho-tre-em-ama-watch-m80-chong-nuoc-hang-nhap-khau-p67262439.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.67262439,https://salt.tikicdn.com/cache/200x200/ts/product/cf/5d/97/400ac87eed2b5a7c0b2d484d0eaa0b95.jpg,Yes, 92%,624,,Yes,,Yes,,
1053,Miếng Lót Chuột Logitech G440 - Hàng Chính Hãng,398.900 ₫,https://tiki.vn/mieng-lot-chuot-logitech-g440-hang-chinh-hang-p900466.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.900466,https://salt.tikicdn.com/cache/200x200/media/catalog/product/l/o/logitech_g440_house_gaming_mouse_pad_2_.u5488.d20170912.t120925.72755.jpg,Yes, 90%,,,Yes,,Yes,,
1054,Cáp chuyển đổi HDMI sang VGA FULL HD 1080P dây chuyển đổi từ hdmi sang vga,55.000 ₫,https://tiki.vn/cap-chuyen-doi-hdmi-sang-vga-full-hd-1080p-day-chuyen-doi-tu-hdmi-sang-vga-p51510460.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.51510460,https://salt.tikicdn.com/cache/200x200/ts/product/57/82/3c/2f5e5584d198dd462263c07fff58dd61.jpg,Yes, 86%,,,Yes,,,,
1055,"Giá Đỡ Laptop Nhôm Gấp Gọn, Laptop Stand Dùng Cho Máy Từ 11~17 inch, Có Thể Điều Chỉnh Nhiều Mức Độ Cao, Chất Liệu Hợp Kim Nhôm Cao Cấp",137.500 ₫,https://tiki.vn/gia-do-laptop-nhom-gap-gon-laptop-stand-dung-cho-may-tu-11-17-inch-co-the-dieu-chinh-nhieu-muc-do-cao-chat-lieu-hop-kim-nhom-cao-cap-p71291990.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71291990,https://salt.tikicdn.com/cache/200x200/ts/product/7c/48/a2/435c35b998253b780c81bd050eba8765.jpg,Yes, 86%,55,,,,,,
1056,Bàn phím cơ E-Dra EK387 Huano Switch (Type C) - Hãng Chính Hãng,642.000 ₫,https://tiki.vn/ban-phim-co-e-dra-ek387-huano-switch-type-c-hang-chinh-hang-p74907707.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74907707,https://salt.tikicdn.com/cache/200x200/ts/product/6e/f1/98/9f87d7ba2bde4bf43aec69b32f116eb4.png,No, 96%,134,,,,Yes,,
1057,Cáp HDMI sang HDMI QGeeM hỗ trợ 4K*2K@60HZ UHD dây cáp bện nylon đầu mạ vàng hợp kim nhôm dài 2M-Hàng Chính Hãng,189.000 ₫,https://tiki.vn/cap-hdmi-sang-hdmi-qgeem-ho-tro-4k-2k-60hz-uhd-day-cap-ben-nylon-dau-ma-vang-hop-kim-nhom-dai-2m-hang-chinh-hang-p69226049.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.69226049,https://salt.tikicdn.com/cache/200x200/ts/product/86/2a/dc/24f3cc029c4c1fc6d14bce7643c6478a.jpg,Yes, 96%,,,Yes,,Yes,,
1058,"Miếng lót chuột, Pad chuột 90x40 cm Siêu rộng - Hàng chính hãng",90.000 ₫,https://tiki.vn/mieng-lot-chuot-pad-chuot-90x40-cm-sieu-rong-hang-chinh-hang-p53631890.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.53631890,https://salt.tikicdn.com/cache/200x200/ts/product/49/89/1c/689688c29564e39e419257f845674566.jpg,Yes, 94%,,,,,,,
1059,Giá đỡ laptop ABS có thể gấp gọn dành cho Macbook Ipad Surface và máy tính xách tay ( Giao màu ngẫu nhiên ),79.000 ₫,https://tiki.vn/gia-do-laptop-abs-co-the-gap-gon-danh-cho-macbook-ipad-surface-va-may-tinh-xach-tay-giao-mau-ngau-nhien-p72331210.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.72331210,https://salt.tikicdn.com/cache/200x200/ts/product/78/1d/5f/b172ff7affecfffa2bc300a48934012c.jpg,Yes, 72%,44,,Yes,,,,
1060,Tai Nghe Cho Samsung AKG Galaxy S10 Plus - Hàng Chính Hãng,186.000 ₫,https://tiki.vn/tai-nghe-cho-samsung-akg-galaxy-s10-plus-hang-chinh-hang-p20876860.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.20876860,https://salt.tikicdn.com/cache/200x200/ts/product/5d/d1/df/f15552231874723d7492abdb1248e336.jpg,No, 90%,595,,,,,,
1061,"Găng tay chơi game cảm ứng bao ngón tay chống mồ hôi, chống trượt - 1 ngón lẻ no box",4.899 ₫,https://tiki.vn/gang-tay-choi-game-cam-ung-bao-ngon-tay-chong-mo-hoi-chong-truot-1-ngon-le-no-box-p103665110.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.103665110,https://salt.tikicdn.com/cache/200x200/ts/product/10/b2/56/b67366c530cb211804a4576d3a401ec5.jpg,No, 40%,,,,,Yes,,
1062,Đồng Hồ Thông Minh Theo Dõi Vận Động Theo Dõi Sức Khỏe Huami Amazfit GTS 2 - Hàng Chính Hãng,3.090.000 ₫,https://tiki.vn/dong-ho-thong-minh-theo-doi-van-dong-theo-doi-suc-khoe-huami-amazfit-gts-2-hang-chinh-hang-p75557997.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75557997,https://salt.tikicdn.com/cache/200x200/ts/product/eb/30/ed/15a9b6b87fc98e4ea918492c031ccb2c.jpg,Yes, 92%,,,Yes,No,Yes,Yes,
1063,Cục sạc dành cho Ipad chính hãng - Hàng nhập khẩu,89.500 ₫,https://tiki.vn/cuc-sac-danh-cho-ipad-chinh-hang-hang-nhap-khau-p15633296.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.15633296,https://salt.tikicdn.com/cache/200x200/ts/product/43/d3/b9/ec5c893914b775597cc57ad9c9695ab7.jpg,No, 92%,155,,,,Yes,,
1064,Quạt tản nhiệt điện thoại FL01,163.000 ₫,https://tiki.vn/quat-tan-nhiet-dien-thoai-fl01-p55472283.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.55472283,https://salt.tikicdn.com/cache/200x200/ts/product/73/7c/93/dcf291e2870d59a848d640abf3fb870b.jpeg,Yes, 90%,13,,Yes,,,,
1065,Bàn Phím Game Fuhlen L411 - Hàng Chính Hãng,210.000 ₫,https://tiki.vn/ban-phim-game-fuhlen-l411-hang-chinh-hang-p361279.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.361279,https://salt.tikicdn.com/cache/200x200/ts/product/00/c6/3a/15d237969b67fe418e1c0f283c76a6d9.jpg,No,,,,Yes,,,,
1066,Webcam  HIKVISION DS-U12 (1920 × 1080) - Hàng chính hãng,960.000 ₫,https://tiki.vn/webcam-hikvision-ds-u12-1920-1080-hang-chinh-hang-p95443230.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.95443230,https://salt.tikicdn.com/cache/200x200/ts/product/43/4c/d6/7e8f10f6c74700079d99d01b67f86d81.jpg,Yes, 94%,,,Yes,,,,
1067,[COMBO] Bộ vệ sinh laptop 6 món + Tặng kèm máy hút bui bàn phím (màu ngẫu nhiên) - Hàng nhập khẩu,50.200 ₫,https://tiki.vn/combo-bo-ve-sinh-laptop-6-mon-tang-kem-may-hut-bui-ban-phim-mau-ngau-nhien-hang-nhap-khau-p34520643.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.34520643,https://salt.tikicdn.com/cache/200x200/ts/product/ef/30/1d/17c25aa87326b110cc41ee9c9655b5e2.jpg,Yes, 92%,95,-27%,,,Yes,,
1068,"Chuột Gaming DAREU EM908 (LED RGB, BRAVO sensor) - Hãng phân phối chính thức",319.000 ₫,https://tiki.vn/chuot-gaming-dareu-em908-led-rgb-bravo-sensor-hang-phan-phoi-chinh-thuc-p9724992.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.9724992,https://salt.tikicdn.com/cache/200x200/ts/product/0f/98/37/a6fbbade7b48d4ee55bf231902a70404.jpg,No, 96%,690,,Yes,,,,
1069," Pin Sạc dự phòng Earldom PB-41 kèm giá đỡ, dung lượng 10.000 mAh gắn cáp 3 đầu tiện lợi, hỗ trợ sạc nhanh 2.1A cho 3 cổng Lightning/TypeC, Micro – hàng chính hãng",259.000 ₫,https://tiki.vn/pin-sac-du-phong-earldom-pb-41-kem-gia-do-dung-luong-10-000-mah-gan-cap-3-dau-tien-loi-ho-tro-sac-nhanh-2-1a-cho-3-cong-lightning-typec-micro-hang-chinh-hang-p107462988.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.107462988,https://salt.tikicdn.com/cache/200x200/ts/product/40/16/99/c2e1f06a7bee717f2503f50b909435f5.jpg,Yes, 100%,,,Yes,,Yes,,
1070,Cáp sạc iphone tự ngắt Hoco UPL12 có đèn led báo hiệu sạc đầy hàng chính hãng,99.000 ₫,https://tiki.vn/cap-sac-iphone-tu-ngat-hoco-upl12-co-den-led-bao-hieu-sac-day-hang-chinh-hang-p24989503.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.24989503,https://salt.tikicdn.com/cache/200x200/ts/product/47/d1/35/88a42d5e4b76b47155301ac8aba65aa0.jpg,Yes, 96%,,,Yes,,,,
1071,Chuột có dây Fuhlen X102S - Hàng chính hãng,200.000 ₫,https://tiki.vn/chuot-co-day-fuhlen-x102s-hang-chinh-hang-p15446219.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.15446219,https://salt.tikicdn.com/cache/200x200/ts/product/8c/14/f3/a96d04ad412ae90b46abe9fa2628bfb2.jpg,Yes, 100%,1,,,,Yes,,
1072,Bàn Phím Không Dây Logitech K480 - Hàng Chính Hãng,733.900 ₫,https://tiki.vn/ban-phim-khong-day-logitech-k480-hang-chinh-hang-p208248.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.208248,https://salt.tikicdn.com/cache/200x200/media/catalog/product/l/o/logitechk380%20bl_1.u425.d20160428.t131922.jpg,Yes, 90%,1000,,Yes,,,,
1073,Loa Karaoke Bluetooth xách tay Kimiso KM-S1 và micro có dây Hàng chính hãng ,399.000 ₫,https://tiki.vn/loa-karaoke-bluetooth-xach-tay-kimiso-km-s1-va-micro-co-day-hang-chinh-hang-p45163095.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.45163095,https://salt.tikicdn.com/cache/200x200/ts/product/1e/2f/8f/2f7fce2717cb6e55f47ae217e896c828.jpg,Yes, 86%,,,Yes,,,,
1074,"Bàn di,tấm lót chuột chơi game Mouse pad",25.000 ₫,https://tiki.vn/ban-di-tam-lot-chuot-choi-game-mouse-pad-p26029929.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.26029929,https://salt.tikicdn.com/cache/200x200/ts/product/1d/80/3c/2925e6291125a74e756f4cbf95452d62.jpg,Yes, 96%,,,Yes,,,,
1075,"Sim 4G Mobifone C120 120GB - (4Gb/ngày, Gọi nội mạng miễn phí 1000p không giới hạn) -  Hàng chính hãng",57.000 ₫,https://tiki.vn/sim-4g-mobifone-c120-90gb-3gb-ngay-goi-noi-mang-mien-phi-1000p-khong-gioi-han-hang-chinh-hang-p55571724.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.55571724,https://salt.tikicdn.com/cache/200x200/ts/product/fa/d9/ce/765955174b35d50089760a29354f039f.jpg,Yes, 92%,1000,-43%,Yes,,,,
1076,Dán màn hình dành cho iPad Paper-like chống vân tay cho cảm giác vẽ như trên giấy - Hàng Nhập Khẩu,160.000 ₫,https://tiki.vn/dan-man-hinh-danh-cho-ipad-paper-like-chong-van-tay-cho-cam-giac-ve-nhu-tren-giay-hang-nhap-khau-p50424465.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.50424465,https://salt.tikicdn.com/cache/200x200/ts/product/50/ac/97/222f1d2a1e448111ae7334288860329d.png,Yes, 92%,312,,Yes,,Yes,,
